company_name,company_yc_url,company_tagline,company_description,company_batch,company_company_type,company_industry_tags,company_country,company_location,company_website,company_founded,company_team_size,company_social_profiles_linkedin,company_social_profiles_twitter,company_social_profiles_facebook,company_social_profiles_crunchbase,founders
Embark Trucks,https://www.ycombinator.com/companies/embark-trucks,Self-driving semi trucks.,"Embark Technology develops self-driving truck software. Embark was the first self-driving truck company to achieve an autonomous coast-to-coast drive, the first to reach 100,000 miles driven on public roads, and the first to open a network of transfer points.Embark went public on NASDAQ in 2021 and was acquired by Applied Intuition in 2023.",W16,PUBLIC,"[""Autonomous vehicles""]",United States,San Francisco,http://embarktrucks.com,2016,300,https://www.linkedin.com/company/embarktrucks/,,,,"[{""name"":""Alex Rodrigues"",""role"":""CEO"",""description"":""Started building robots when I was 11. Excited to be helping build the world's biggest robots today!"",""linkedin_profile"":""https://ca.linkedin.com/in/rodriguesalex"",""twitter_profile"":""https://twitter.com/alexrodriguesca""},{""name"":""Brandon Moak"",""role"":""CTO"",""description"":"""",""linkedin_profile"":""https://ca.linkedin.com/in/brandonmoak"",""twitter_profile"":""""},{""name"":""Michael Skupien"",""role"":"""",""description"":"""",""linkedin_profile"":""https://linkedin.com/in/michael-sk"",""twitter_profile"":""""}]"
Classkick,https://www.ycombinator.com/companies/classkick,,"Every day, teachers struggle to answer all of their students questions. Even worse, theyre often unaware of who needs help because some students are too shy to raise hands. Classkick is a free app that eliminates those roadblocks, showing teachers exactly what their students are doing and who has pressed I need help on a specific part of their assignment. Rather than reinvent how students learn or how teachers teach, Classkick facilitates current classroom learning. In Classkick, every student's handwriting, whether its a 2nd grader drawing a picture or an 11th grader doing physics, appears live to the teacher in a mosaic of working students. The teacher can zoom into any students sheet to help them and ask a probing question to redirect their thinking. By the time the student has read and thought through the feedback, the teacher has already swept off and helped 5 others.We are hyper focused on one goal: increase student learning. To achieve this, we listen to educators to truly understand how technology can assist in the learning process.",IK12,ACTIVE,"[""Not Available""]",United States,"Chicago, IL",http://www.classkick.com/,,11,,https://twitter.com/Classkick/,https://www.facebook.com/classkick/,,"[{""name"":""Andrew Harada Rowland"",""role"":""CEO"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/andrewrowland"",""twitter_profile"":""""}]"
Luminai,https://www.ycombinator.com/companies/luminai,Luminai helps automate repetitive manual work away from your mission,"Luminai helps automate repetitive manual work away from your mission critical business processes. We're serving customers across retail, healthcare, financial services, and more. Visit our website and see our customer case studies below:https://luminai.comGrateful to be backed by General Catalyst, Craft Ventures, Y Combinator, Moxxie Ventures, Caffeinated Capital, Unshackled Ventures, Scribble Ventures, Shrug Capital, Underscore VC, Weekend Fund, Liquid 2 Ventures, Nikhil Basu Trivedi, Yuri Sagalov, Chris Golda, Basement Fund, the founders and CEOs of Dropbox, Flexport, Notion, Deel, Front, Ramp, Coda, Rappi, Twitch, Lever, Algolia, Thredup, Pagerduty, Sendbird, the COO's of Stitchfix/Rippling, and the former heads of product of Twitter, Instagram, and Uber. Weve raised $20 million till date. Were hiring across all roles!",S20,ACTIVE,"[""B2B"",""ENTERPRISE""]",United States,San Francisco,https://www.luminai.com,2020,45,,,,,"[{""name"":""Kesava Kirupa Dinakaran"",""role"":"""",""description"":""Kesava is the CEO of Luminai. He's survived off hackathon prize money in Silicon Valley and also holds two world records solving Rubik's cubes."",""linkedin_profile"":""https://www.linkedin.com/in/kesavakirupa/"",""twitter_profile"":""https://twitter.com/kesava_kirupa""}]"
New Story,https://www.ycombinator.com/companies/new-story,We pioneer solutions to address global homelessness.,Were shaping a future beyond charity  where every family can own a home.,S15,ACTIVE,"[""FINTECH"",""HOUSING"",""NONPROFIT""]",United States,"Atlanta, GA",http://newstoryhomes.org,2014,35,https://www.linkedin.com/company/new-story-homes/,https://mobile.twitter.com/NewStoryHomes,https://www.facebook.com/newstoryhomes,,"[{""name"":""Brett Hagler"",""role"":""CEO"",""description"":""Co-Founder and CEO at New Story."",""linkedin_profile"":""http://www.linkedin.com/in/rbhagler/"",""twitter_profile"":""https://twitter.com/BrettHagler""},{""name"":""Matthew Marshall"",""role"":"""",""description"":""Co-founder and Chief Business Officer of New Story.New Storypioneers solutions to end global homelessness through a market-driven approach and since starting 8 years ago we've raised over 50M+ and built 37 communities (100-150 homes per project) in Latin America. Our goal is to house 1M individuals by 2030 through sustainable and scalable affordable housing models by blending a mixture of philanthropy, impact investment, and technical expertise."",""linkedin_profile"":""http://linkedin.com/in/jamesmatthewmarshall"",""twitter_profile"":""""}]"
renderlet,https://www.ycombinator.com/companies/renderlet,Build interactive applications that run anywhere,"renderlet is a framework that makes it easy to develop interactive applications.Building applications with high-performance graphics is very hard  existing tools are cumbersome and arent truly platform agnostic, leading to frequent rework. With renderlet, developers can write high-level code to describe 2D and 3D graphics without having to use low-level, platform-specific APIs.renderlet automatically compiles graphics code to WebAssembly and embeds a portable rendering engine inside any app, enabling graphics to safely and automatically render on any platforms GPU.Our runtime is open-source: https://github.com/renderlet/wander",W24,ACTIVE,"[""DESIGN-TOOLS"",""DEVELOPER-TOOLS"",""Data Tech""]",United States,New York,http://renderlet.com,2024,1,https://www.linkedin.com/company/renderlet,,,,"[{""name"":""Sean Isom"",""role"":"""",""description"":""Sean is the Founder of renderlet. He previously built Developer Platforms at Adobe as a Lead Engineer and Sr. Engineering Manager, building the core infrastructure that powers apps like Photoshop and Acrobat. He has over a decade of technical experience in browsertech and real-time graphics and is currently involved in standardization efforts for WebAssemblys WASI GPU support."",""linkedin_profile"":""https://linkedin.com/in/isom"",""twitter_profile"":""https://twitter.com/theisomizer""}]"
Nebia,https://www.ycombinator.com/companies/nebia,"Nebia is a breakthrough shower system, based on a premium experience,","(acquired by Brondell in 2022)At Nebia we build innovative and impactful products that improve how people use water in their daily lives. Through thoughtful reinvention of everyday interactions, we empower people everywhere to collectively make a greater impact with their most basic daily rituals. We started with the shower. The Nebia shower embodies the highest standards of experience, design, engineering and water and energy use. With water savings up to 70% compared to traditional showers, Nebia was designed to make a meaningful impact without compromising on experience.At the heart of our products is our unwavering dedication to developing groundbreaking sustainable solutions that stand the test of time. Every new iteration is made to solve a complex engineering challenge that has limited innovation for over a century. Our investment in R&D and product development is second only to our investment in the people who are making it possible.After several years working behind the scenes, we are extremely proud of what we have recently achieved:- $10m raised on Kickstarter- Products in 100,000 homes- 500+ million gallons of water saved (c. 2022)- 27 million kWh (27 GWh) of energy (approx. energy to heat 2,700 U.S. homes in one year)",S15,ACQUIRED,"[""Climate Tech"",""HARDWARE"",""SUSTAINABILITY""]",United States,San Francisco,http://nebia.com,2013,16,https://www.linkedin.com/company/nebia/,https://twitter.com/nebia,,https://www.crunchbase.com/organization/nebia,"[{""name"":""Philip Winter"",""role"":""CEO"",""description"":""Co-founded Nebia in 2013 (S15). Designed water atomizing showers that provided a steam shower experience, with a powerful spray, while saving over 50% of the water/energy used by traditional showers. Pre-sold over $10m on Kickstarter through six campaigns. Sold the company in 2022 to Brondell."",""linkedin_profile"":""https://linkedin.com/in/philipwinter1"",""twitter_profile"":""""},{""name"":""Carlos Gomez Andonaegui"",""role"":"""",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/carlosgomezando/"",""twitter_profile"":""""},{""name"":""Gabriel Parisi-Amon"",""role"":""CTO/COO"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/profile/view?id=51776883&trk=hp-identity-name"",""twitter_profile"":""""}]"
Upflow,https://www.ycombinator.com/companies/upflow,Modern cash collection for B2B businesses.,"Upflow is building high-quality software to help mid-market B2B companies improve their cash collection and grow profitably.B2B payment remains super painful for both suppliers and customers in 2023. Through a one-click integration with major financial software (Netsuite, Sage Intacct, Quickbooks) it provides finance and business teams with:1. A better understanding of their cash collection performance through powerful analytics2. An intuitive platform for all teams (finance, sales, success) to collaborate around cash collection, turning archaic spreadsheet processes into systematic, personalized cash collection processes.3. A platform to bring modern payment methods to customers and recreate a consumer-like checkout experience with one click payment. Overall, Upflow drastically improve cash collection rates and turn revenues into cash in the bank faster, simpler.The best B2B tech companies, such as Front, Lattice, ProductBoard, rely on Upflow to manage their cash collection. If you're a CFO, Controller, or Finance Ops, check out our free Discover product to run an audit of your cash collection in 5 min: https://insights.upflow.io/en/discover-upflow",W20,ACTIVE,"[""FINTECH"",""SAAS""]",United States,New York,https://upflow.io/en/,2018,70,https://www.linkedin.com/company/upflowhq/,https://twitter.com/upflowhq,,https://www.crunchbase.com/organization/upflow,"[{""name"":""Alex Louisy"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/alexlouisy/"",""twitter_profile"":""""},{""name"":""Barnaby Malet"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/barnabymalet/"",""twitter_profile"":""""}]"
Leaders In Tech (formerly InnerSpace),https://www.ycombinator.com/companies/leaders-in-tech,"Helping founders improve themselves, their companies, and the world.",Leaders In Tech Fellows is a 10-month program limited to 72 hand-picked founders nominated by the tech community for their commitment to building high-performing and culturally-healthy organizations.The Fellows program is based on the legendary Interpersonal Dynamics (Touchy Feely) class at the Stanford Graduate School of Business and is led by Carole Robin former faculty director and matriarch of that program. 146 Fellows alumni now run companies valued at over $50B that employ thousands of people.,S15,ACTIVE,"[""COMMUNITY""]",United States,San Francisco,http://leadersintech.org,,1,,,,https://www.crunchbase.com/organization/innerspace-2,"[{""name"":""Joe Greenstein"",""role"":""Zookeeper's Assistant"",""description"":"""",""linkedin_profile"":""http://linkedin.com/in/joegreenstein"",""twitter_profile"":""""},{""name"":""Semira Rahemtulla"",""role"":""Founder"",""description"":"""",""linkedin_profile"":""https://www.linkedin.com/in/semira"",""twitter_profile"":""""}]"
Arpio,https://www.ycombinator.com/companies/arpio,Recover from any outage in 10 minutes or less.,Arpio is a SaaS that eliminates downtime for AWS applications by making it easy to recover from any outage in just a few minutes.,W21,ACTIVE,"[""B2B"",""CLOUD-WORKLOAD-PROTECTION"",""SAAS""]",United States,"Durham, NC",https://arpio.io,2018,7,https://www.linkedin.com/company/arpio,,,,"[{""name"":""Doug Neumann"",""role"":"""",""description"":""Co-founder and CEO of Arpio.  I've been building software for 20+ years at places like Microsoft, BMC, and Bandwidth.  Before Arpio I led the software engineering organization at Bandwidth through their successful IPO in 2017."",""linkedin_profile"":""https://www.linkedin.com/in/dougneumann/"",""twitter_profile"":""""},{""name"":""Shaw Terwilliger"",""role"":"""",""description"":""Got my first job writing software at 15 and I've been doing it ever since.  Built things at small, medium, and large companies.  Launching new products is the best.  CTO of Arpio.  Increasingly gray beard.  Unix guy."",""linkedin_profile"":""https://www.linkedin.com/in/shaw-terwilliger-64079076/"",""twitter_profile"":""https://twitter.com/sterwill""}]"
Basalt Tech,https://www.ycombinator.com/companies/basalt-tech,"Autonomy in space, for every mission","Basalt Tech is a spacecraft OS company based in San Francisco. We're building Dispatch: An OS which allows different types of satellites to work together, and produces optimized instructions for fleets of spacecraft. The company is founded by Max Bhatti and Alex Choi, lead engineers at the MIT CubeSat program. Previously, the duo worked as systems engineers at SpaceX, and the UK Ministry of Defense. Basalt Tech recently received its seed investment as part of the Y Combinator W24 batch, and is currently in technical development.",W24,ACTIVE,"[""AEROSPACE"",""AUTOMATION"",""ENTERPRISE-SOFTWARE""]",United States,San Francisco,https://basalt.space/,2023,2,https://www.linkedin.com/company/101564456/,,,,"[{""name"":""Maximillian Bhatti"",""role"":"""",""description"":""CEO & Co-Founder of Basalt Tech    //   I was working at Caltechs fusion lab when I was hired out of highschool by my co-founder Alex. We would spend the next year working together at MIT AeroAstro, and become great friends in the process. Since then, Ive spent stints at The Aerospace Corporation and SpaceX working on distributed space systems and the American moon landing. Most recently, I dropped out to build Basalt Tech with Alex.My hobbies include hiking and buying infinite whiteboards."",""linkedin_profile"":""https://linkedin.com/in/maximillian-bhatti-1a9806266"",""twitter_profile"":""""},{""name"":""Alex Choi"",""role"":"""",""description"":""COO & Co-Founder of Basalt TechPreviously, I worked as an aerospace engineer at the UK M.O.D. and project manager at MIT AeroAstro, leading the development of novel spacecraft missions. Specialties include embedded systems, radios, distributed information systems, and aerothermodynamics. I also did a masters on engineering design with Indigenous communities before working on Basalt. My hobbies include cooking food and playing video games!"",""linkedin_profile"":""https://www.linkedin.com/in/alex-choi/"",""twitter_profile"":""""}]"
